,text,cleaned,casefolding,stopword,normalisasi,stemming,tokenisasi
88,"Viral! Momen Angela Tanoesoedibjo Salah Sebut Ganjar Jadi Prabowo, Diteriaki Para Relawan https://t.co/cC4lTmz3g4","Viral! Momen Angela Tanoesoedibjo Salah Sebut Ganjar Jadi Prabowo, Diteriaki Para Relawan","viral! momen angela tanoesoedibjo salah sebut ganjar jadi prabowo, diteriaki para relawan","viral! momen angela tanoesoedibjo salah sebut ganjar jadi prabowo, diteriaki relawan","viral ! momen angela tanoesoedibjo salah sebut ganjar jadi prabowo , diteriaki relawan",viral momen angela tanoesoedibjo salah sebut ganjar jadi prabowo riak rawan,"['viral', 'momen', 'angela', 'tanoesoedibjo', 'salah', 'sebut', 'ganjar', 'jadi', 'prabowo', 'riak', 'rawan']"
89,astaghfirullah...  prabowo bandingkan gibran dengan allah swt  *betul² sinting dan menjijikkan..! https://t.co/2qFq7uWF3S,astaghfirullah... prabowo bandingkan gibran dengan allah swt *betul sinting dan menjijikkan..!,astaghfirullah... prabowo bandingkan gibran dengan allah swt *betul sinting dan menjijikkan..!,astaghfirullah... prabowo bandingkan gibran allah swt *betul sinting menjijikkan..!,astagfirullah ... prabowo bandingkan gibran allah subhanahu wa taala * betul sinting menjijikkan .. !,astagfirullah prabowo banding gibran allah subhanahu wa taala betul sinting jijik,"['astagfirullah', 'prabowo', 'banding', 'gibran', 'allah', 'subhanahu', 'wa', 'taala', 'betul', 'sinting', 'jijik']"
90,Q: Kenapa Prabowo Sulit Mendapatkan Elektabilitas diatas 50%?  A: Karena Prabowo Hanya Didukung para Masinis2 Partai Yang Gerbongnya Pada Kosong. Dan Masinis2 Partai itu memberikan dukungan hanya untuk menyelamatkan dirinya sendiri.,Q: Kenapa Prabowo Sulit Mendapatkan Elektabilitas diatas %? A: Karena Prabowo Hanya Didukung para Masinis Partai Yang Gerbongnya Pada Kosong. Dan Masinis Partai itu memberikan dukungan hanya untuk menyelamatkan dirinya sendiri.,q: kenapa prabowo sulit mendapatkan elektabilitas diatas %? a: karena prabowo hanya didukung para masinis partai yang gerbongnya pada kosong. dan masinis partai itu memberikan dukungan hanya untuk menyelamatkan dirinya sendiri.,q: prabowo sulit mendapatkan elektabilitas diatas %? a: prabowo didukung masinis partai gerbongnya kosong. masinis partai memberikan dukungan untuk menyelamatkan dirinya sendiri.,saya : prabowo sulit mendapatkan elektabilitas di atas % ? a : prabowo didukung masinis partai gerbongnya kosong . masinis partai memberikan dukungan untuk menyelamatkan dirinya sendiri .,saya prabowo sulit dapat elektabilitas di atas a prabowo dukung masinis partai gerbong kosong masinis partai beri dukung untuk selamat diri sendiri,"['saya', 'prabowo', 'sulit', 'dapat', 'elektabilitas', 'di', 'atas', 'a', 'prabowo', 'dukung', 'masinis', 'partai', 'gerbong', 'kosong', 'masinis', 'partai', 'beri', 'dukung', 'untuk', 'selamat', 'diri', 'sendiri']"
91,"@m1n4_95 Yg kelakuannya kaya gini, biasanya pendukung jokowi yg skrg dukung prabowo. Polanya dr 2014 sampai skrg.  #AMINAjaDulu","Yg kelakuannya kaya gini, biasanya pendukung jokowi yg skrg dukung prabowo. Polanya dr sampai skrg.","yg kelakuannya kaya gini, biasanya pendukung jokowi yg skrg dukung prabowo. polanya dr sampai skrg.","yg kelakuannya kaya gini, biasanya pendukung jokowi yg skrg dukung prabowo. polanya dr skrg.","yang kelakuannya seperti begini , biasanya pendukung jokowi yang sekarang dukung prabowo . polanya dari sekarang .",yang laku seperti begini biasa dukung jokowi yang sekarang dukung prabowo pola dari sekarang,"['yang', 'laku', 'seperti', 'begini', 'biasa', 'dukung', 'jokowi', 'yang', 'sekarang', 'dukung', 'prabowo', 'pola', 'dari', 'sekarang']"
92,"Kabid SMP Dinas Pendidikan Kota Medan Kampanye, Ajak PGRI Pilih Paslon 02 Prabowo-Gibran. . https://t.co/jA1q2PA9vF . https://t.co/WKZFsxlUmt","Kabid SMP Dinas Pendidikan Kota Medan Kampanye, Ajak PGRI Pilih Paslon Prabowo-Gibran. . .","kabid smp dinas pendidikan kota medan kampanye, ajak pgri pilih paslon prabowo-gibran. . .","kabid smp dinas pendidikan kota medan kampanye, ajak pgri pilih paslon prabowo-gibran. . .","kabid sampai dinas pendidikan kota medan kampanye , ajak pgri pilih pasangan calon prabowo-gibran . . .",kabid sampai dinas didik kota medan kampanye ajak pgri pilih pasang calon prabowo-gibran,"['kabid', 'sampai', 'dinas', 'didik', 'kota', 'medan', 'kampanye', 'ajak', 'pgri', 'pilih', 'pasang', 'calon', 'prabowo-gibran']"
93,"Habis ketemuan sama asbak kaleng sampe pagi ini...  Dapet informasi bahwa posisi real survey antara Ganjar dan Prabowo ternyata beda tipis..  Inilah yg buat istana panik karena buat mereka jikapun 2 putaran, mereka lebih suka berhadapan dgn Anies.   Ketika realitasnya tdk begitu,…","Habis ketemuan sama asbak kaleng sampe pagi ini... Dapet informasi bahwa posisi real survey antara Ganjar dan Prabowo ternyata beda tipis.. Inilah yg buat istana panik karena buat mereka jikapun putaran, mereka lebih suka berhadapan dgn Anies. Ketika realitasnya tdk begitu,","habis ketemuan sama asbak kaleng sampe pagi ini... dapet informasi bahwa posisi real survey antara ganjar dan prabowo ternyata beda tipis.. inilah yg buat istana panik karena buat mereka jikapun putaran, mereka lebih suka berhadapan dgn anies. ketika realitasnya tdk begitu,","habis ketemuan sama asbak kaleng sampe pagi ini... dapet informasi posisi real survey ganjar prabowo ternyata beda tipis.. inilah yg buat istana panik buat jikapun putaran, lebih suka berhadapan dgn anies. realitasnya tdk begitu,","habis ketemuan sama asbak kaleng sampai pagi ini ... dapat informasi posisi nyata survei ganjar prabowo ternyata beda tipis .. inilah yang buat istana panik buat jikapun putaran , lebih suka berhadapan dengan anies . realitasnya tidak begitu ,",habis ketemu sama asbak kaleng sampai pagi ini dapat informasi posisi nyata survei ganjar prabowo nyata beda tipis ini yang buat istana panik buat jika putar lebih suka hadap dengan anies realitas tidak begitu,"['habis', 'ketemu', 'sama', 'asbak', 'kaleng', 'sampai', 'pagi', 'ini', 'dapat', 'informasi', 'posisi', 'nyata', 'survei', 'ganjar', 'prabowo', 'nyata', 'beda', 'tipis', 'ini', 'yang', 'buat', 'istana', 'panik', 'buat', 'jika', 'putar', 'lebih', 'suka', 'hadap', 'dengan', 'anies', 'realitas', 'tidak', 'begitu']"
94,Tanda-tanda Prabowo Kalah Part 2   *tolong tetangga jangan meriang..! https://t.co/rgRvVkJdOk,Tanda-tanda Prabowo Kalah Part *tolong tetangga jangan meriang..!,tanda-tanda prabowo kalah part *tolong tetangga jangan meriang..!,tanda-tanda prabowo kalah part *tolong tetangga jangan meriang..!,tanda-tanda prabowo kalah part * tolong tetangga jangan meriang .. !,tanda prabowo kalah part tolong tetangga jangan meriang,"['tanda', 'prabowo', 'kalah', 'part', 'tolong', 'tetangga', 'jangan', 'meriang']"
95,"@xopch dari awal mereka bikin abah anies aja, mereka langsung fomo bikin ayah prabowo weh","dari awal mereka bikin abah anies aja, mereka langsung fomo bikin ayah prabowo weh","dari awal mereka bikin abah anies aja, mereka langsung fomo bikin ayah prabowo weh","awal bikin abah anies aja, langsung fomo bikin ayah prabowo weh","awal membuat ayah anies saja , langsung fomo membuat ayah prabowo weh",awal buat ayah anies saja langsung fomo buat ayah prabowo weh,"['awal', 'buat', 'ayah', 'anies', 'saja', 'langsung', 'fomo', 'buat', 'ayah', 'prabowo', 'weh']"
96,Lagu Oke Gas yang dipopulerkan Richard Jersey kini menjadi lagu resmi kampanye Prabowo-Gibran.  ___  #vivacoid #prabowogibran https://t.co/3TtvnxcpaK,Lagu Oke Gas yang dipopulerkan Richard Jersey kini menjadi lagu resmi kampanye Prabowo-Gibran. ___,lagu oke gas yang dipopulerkan richard jersey kini menjadi lagu resmi kampanye prabowo-gibran. ___,lagu oke gas dipopulerkan richard jersey kini menjadi lagu resmi kampanye prabowo-gibran. ___,lagu ok gas dipopulerkan richard jersey kini menjadi lagu resmi kampanye prabowo-gibran . ___,lagu ok gas populer richard jersey kini jadi lagu resmi kampanye prabowo-gibran,"['lagu', 'ok', 'gas', 'populer', 'richard', 'jersey', 'kini', 'jadi', 'lagu', 'resmi', 'kampanye', 'prabowo-gibran']"
97,Awalnya saya juga berpikir Mas Budi nggak bisa bersatu dengan Pak Prabowo.,Awalnya saya juga berpikir Mas Budi nggak bisa bersatu dengan Pak Prabowo.,awalnya saya juga berpikir mas budi nggak bisa bersatu dengan pak prabowo.,awalnya juga berpikir mas budi bisa bersatu pak prabowo.,awalnya juga berpikir mas budi bisa bersatu pak prabowo .,awal juga pikir mas budi bisa satu pak prabowo,"['awal', 'juga', 'pikir', 'mas', 'budi', 'bisa', 'satu', 'pak', 'prabowo']"
98,@woodelveprince Padahal Prabowo tiap pidato kita harus kuat kita harus kuat kita harus kuat.  Lah pada mewek 😄,Padahal Prabowo tiap pidato kita harus kuat kita harus kuat kita harus kuat. Lah pada mewek,padahal prabowo tiap pidato kita harus kuat kita harus kuat kita harus kuat. lah pada mewek,padahal prabowo tiap pidato harus kuat harus kuat harus kuat. lah mewek,padahal prabowo tiap pidato harus kuat harus kuat harus kuat . lah mewek,padahal prabowo tiap pidato harus kuat harus kuat harus kuat lah mewek,"['padahal', 'prabowo', 'tiap', 'pidato', 'harus', 'kuat', 'harus', 'kuat', 'harus', 'kuat', 'lah', 'mewek']"
99,Asli gak terbendung. Semua kekuatan besar mengarah ke Prabowo Gibran.   Kekuatan besar?   Ya mereka adalah Rakyat ✊️ https://t.co/KyRguIULaH,Asli gak terbendung. Semua kekuatan besar mengarah ke Prabowo Gibran. Kekuatan besar? Ya mereka adalah Rakyat,asli gak terbendung. semua kekuatan besar mengarah ke prabowo gibran. kekuatan besar? ya mereka adalah rakyat,asli gak terbendung. semua kekuatan besar mengarah prabowo gibran. kekuatan besar? mereka rakyat,asli tidak terbendung . semua kekuatan besar mengarah prabowo gibran . kekuatan besar ? mereka rakyat,asli tidak bendung semua kuat besar arah prabowo gibran kuat besar mereka rakyat,"['asli', 'tidak', 'bendung', 'semua', 'kuat', 'besar', 'arah', 'prabowo', 'gibran', 'kuat', 'besar', 'mereka', 'rakyat']"
100,INI STUDY BANDING PERBEDAAN ANIES VS PRABOWO  Pak ANIES Tdk Bagi2 NASI Tetapi diberi NASI oleh Warga utk Bekal dlm Perjalanan👍👍  PRABOWO Bagi2 KAOS diatas Mobil Bagi2 nya DILEMPAR sangat KASAR Bro🤣😁  Menurut Kalian yg Lebih BERETIKA &amp  BERADAB Siapa Bro? ANIES apa PRABOWO Bro? https://t.co/ekCtLZir0V,INI STUDY BANDING PERBEDAAN ANIES VS PRABOWO Pak ANIES Tdk Bagi NASI Tetapi diberi NASI oleh Warga utk Bekal dlm Perjalanan PRABOWO Bagi KAOS diatas Mobil Bagi nya DILEMPAR sangat KASAR Bro Menurut Kalian yg Lebih BERETIKA &amp BERADAB Siapa Bro? ANIES apa PRABOWO Bro?,ini study banding perbedaan anies vs prabowo pak anies tdk bagi nasi tetapi diberi nasi oleh warga utk bekal dlm perjalanan prabowo bagi kaos diatas mobil bagi nya dilempar sangat kasar bro menurut kalian yg lebih beretika &amp beradab siapa bro? anies apa prabowo bro?,study banding perbedaan anies vs prabowo pak anies tdk nasi diberi nasi warga utk bekal dlm perjalanan prabowo kaos diatas mobil nya dilempar sangat kasar bro kalian yg lebih beretika &amp beradab siapa bro? anies apa prabowo bro?,study banding perbedaan anies lawan prabowo pak anies tidak nasi diberi nasi warga untuk bekal dalam perjalanan prabowo kaos di atas mobil nya dilempar sangat kasar saudara laki-laki kalian yang lebih beretika & amp beradab siapa saudara laki-laki ? anies apa prabowo saudara laki-laki ?,study banding beda anies lawan prabowo pak anies tidak nasi beri nasi warga untuk bekal dalam jalan prabowo kaos di atas mobil nya lempar sangat kasar saudara laki kalian yang lebih etika amp adab siapa saudara laki anies apa prabowo saudara laki,"['study', 'banding', 'beda', 'anies', 'lawan', 'prabowo', 'pak', 'anies', 'tidak', 'nasi', 'beri', 'nasi', 'warga', 'untuk', 'bekal', 'dalam', 'jalan', 'prabowo', 'kaos', 'di', 'atas', 'mobil', 'nya', 'lempar', 'sangat', 'kasar', 'saudara', 'laki', 'kalian', 'yang', 'lebih', 'etika', 'amp', 'adab', 'siapa', 'saudara', 'laki', 'anies', 'apa', 'prabowo', 'saudara', 'laki']"
101,Menag Yaqut Kagum dengan Sosok Prabowo: Selalu Ajarkan Kesabaran dan Ketangguhan https://t.co/1V2E3UYCn1,Menag Yaqut Kagum dengan Sosok Prabowo: Selalu Ajarkan Kesabaran dan Ketangguhan,menag yaqut kagum dengan sosok prabowo: selalu ajarkan kesabaran dan ketangguhan,menag yaqut kagum sosok prabowo: selalu ajarkan kesabaran ketangguhan,menteri agama yaqut kagum sosok prabowo : selalu ajarkan kesabaran ketangguhan,menteri agama yaqut kagum sosok prabowo selalu ajar sabar tangguh,"['menteri', 'agama', 'yaqut', 'kagum', 'sosok', 'prabowo', 'selalu', 'ajar', 'sabar', 'tangguh']"
102,Pendukung Prabowo: nangis berjamaah  Anies ke pendukung: Ayo tegar!,Pendukung Prabowo: nangis berjamaah Anies ke pendukung: Ayo tegar!,pendukung prabowo: nangis berjamaah anies ke pendukung: ayo tegar!,pendukung prabowo: nangis berjamaah anies pendukung: ayo tegar!,pendukung prabowo : menangis berjemaah anies pendukung : ayo tegar !,dukung prabowo menang jemaah anies dukung ayo tegar,"['dukung', 'prabowo', 'menang', 'jemaah', 'anies', 'dukung', 'ayo', 'tegar']"
103,PERMADI ADEARMANDO NOEL GRAC  JUJUR KATAKAN PRABOWO  GA PANTAS JD PRESIDEN KARENA 1.PELANGGARAN HAM 2.DEKAT DGN CENDANA  3.EMOSI &amp  KETIDAKSTABILAN JIWA 4.DEKAT DGN ORMAS RADIKAL 5.ANTI DEMOKRASI INGIN NEGARA MILITER OTORITER SPT KORUT?  6.CENDERUNG KORUPSI  7.SDH TUA 73 TH PERNAH… https://t.co/NDDi3BZ8uc,PERMADI ADEARMANDO NOEL GRAC JUJUR KATAKAN PRABOWO GA PANTAS JD PRESIDEN KARENA .PELANGGARAN HAM .DEKAT DGN CENDANA .EMOSI &amp KETIDAKSTABILAN JIWA .DEKAT DGN ORMAS RADIKAL .ANTI DEMOKRASI INGIN NEGARA MILITER OTORITER SPT KORUT? .CENDERUNG KORUPSI .SDH TUA TH PERNAH,permadi adearmando noel grac jujur katakan prabowo ga pantas jd presiden karena .pelanggaran ham .dekat dgn cendana .emosi &amp ketidakstabilan jiwa .dekat dgn ormas radikal .anti demokrasi ingin negara militer otoriter spt korut? .cenderung korupsi .sdh tua th pernah,permadi adearmando noel grac jujur katakan prabowo ga pantas jd presiden .pelanggaran ham .dekat dgn cendana .emosi &amp ketidakstabilan jiwa .dekat dgn ormas radikal .anti demokrasi negara militer otoriter spt korut? .cenderung korupsi .sdh tua th pernah,permadi adearmando noel grac jujur katakan prabowo tidak pantas jadi presiden . pelanggaran ham . dekat dengan cendana . emosi & amp ketidakstabilan jiwa . dekat dengan organisasi masyarakat radikal . anti demokrasi negara militer otoriter seperti korea utara ? . cenderung korupsi . sudah tua tahun pernah,madi adearmando noel grac jujur kata prabowo tidak pantas jadi presiden langgar ham dekat dengan cendana emosi amp ketidakstabilan jiwa dekat dengan organisasi masyarakat radikal anti demokrasi negara militer otoriter seperti korea utara cenderung korupsi sudah tua tahun pernah,"['madi', 'adearmando', 'noel', 'grac', 'jujur', 'kata', 'prabowo', 'tidak', 'pantas', 'jadi', 'presiden', 'langgar', 'ham', 'dekat', 'dengan', 'cendana', 'emosi', 'amp', 'ketidakstabilan', 'jiwa', 'dekat', 'dengan', 'organisasi', 'masyarakat', 'radikal', 'anti', 'demokrasi', 'negara', 'militer', 'otoriter', 'seperti', 'korea', 'utara', 'cenderung', 'korupsi', 'sudah', 'tua', 'tahun', 'pernah']"
104,Ini jawaban memang sangat cerdas. Bang Hasan Nasbi gak ada obat pokoknya!!!  #prabowo #gibran #prabowogibran #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/Pi7De0fz1B,Ini jawaban memang sangat cerdas. Bang Hasan Nasbi gak ada obat pokoknya!!!,ini jawaban memang sangat cerdas. bang hasan nasbi gak ada obat pokoknya!!!,jawaban memang sangat cerdas. bang hasan nasbi gak obat pokoknya!!!,jawaban memang sangat cerdas . bang hasan nasbi tidak obat pokoknya ! ! !,jawab memang sangat cerdas bang hasan nasbi tidak obat pokok,"['jawab', 'memang', 'sangat', 'cerdas', 'bang', 'hasan', 'nasbi', 'tidak', 'obat', 'pokok']"
105,"Anies-Cak Imin Unggul Telak 👏‼️ Siapa Tau Ada Yang Mau RT 🔁  Di Polling kumparan Usai Debat Ketiga Pilpres. Dari 6.140 responden, 70,73 persen memilih pasangan nomor urut 01 AMIN sebagai pemenang debat ✨   Sementara itu, Prabowo-Gibran dan Ganjar-Mahfud hanya mendapat 17,83… https://t.co/R1CEJsHZA3","Anies-Cak Imin Unggul Telak Siapa Tau Ada Yang Mau RT Di Polling kumparan Usai Debat Ketiga Pilpres. Dari responden, persen memilih pasangan nomor urut AMIN sebagai pemenang debat Sementara itu, Prabowo-Gibran dan Ganjar-Mahfud hanya mendapat","anies-cak imin unggul telak siapa tau ada yang mau rt di polling kumparan usai debat ketiga pilpres. dari responden, persen memilih pasangan nomor urut amin sebagai pemenang debat sementara itu, prabowo-gibran dan ganjar-mahfud hanya mendapat","anies-cak imin unggul telak siapa tau yang mau rt polling kumparan usai debat ketiga pilpres. responden, persen memilih pasangan nomor urut amin pemenang debat itu, prabowo-gibran ganjar-mahfud mendapat","anies-cak imin unggul telak siapa tahu yang mau rt polling kumparan usai debat ketiga pemilihan presiden . responden , persen memilih pasangan nomor urut amin pemenang debat itu , prabowo-gibran ganjar-mahfud mendapat",anies-cak imin unggul telak siapa tahu yang mau rt polling kumpar usai debat tiga pilih presiden responden persen pilih pasang nomor urut amin menang debat itu prabowo-gibran ganjar-mahfud dapat,"['anies-cak', 'imin', 'unggul', 'telak', 'siapa', 'tahu', 'yang', 'mau', 'rt', 'polling', 'kumpar', 'usai', 'debat', 'tiga', 'pilih', 'presiden', 'responden', 'persen', 'pilih', 'pasang', 'nomor', 'urut', 'amin', 'menang', 'debat', 'itu', 'prabowo-gibran', 'ganjar-mahfud', 'dapat']"
106,Cuma pertemuan biasa ya jangan dibesar-besarkan!!!  #prabowo #gibran #prabowogibran #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/fPfZ6GqglS,Cuma pertemuan biasa ya jangan dibesar-besarkan!!!,cuma pertemuan biasa ya jangan dibesar-besarkan!!!,cuma pertemuan biasa jangan dibesar-besarkan!!!,cuma pertemuan biasa jangan dibesar-besarkan ! ! !,cuma temu biasa jangan besar,"['cuma', 'temu', 'biasa', 'jangan', 'besar']"
107,Connie Rahakundini: Prabowo Hanya Dipakai sebagai 'Kendaraan' untuk Sang Putra Mahkota https://t.co/BQpWqaoeZj,Connie Rahakundini: Prabowo Hanya Dipakai sebagai 'Kendaraan' untuk Sang Putra Mahkota,connie rahakundini: prabowo hanya dipakai sebagai 'kendaraan' untuk sang putra mahkota,connie rahakundini: prabowo dipakai 'kendaraan' sang putra mahkota,connie rahakundini : prabowo dipakai ' kendaraan ' sang putra mahkota,connie rahakundini prabowo pakai kendara sang putra mahkota,"['connie', 'rahakundini', 'prabowo', 'pakai', 'kendara', 'sang', 'putra', 'mahkota']"
108,Santai saja!! 😋  #prabowo #gibran #prabowogibran #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/F5HLZxyCEi,Santai saja!!,santai saja!!,santai saja!!,santai saja ! !,santai saja,"['santai', 'saja']"
109,"Pertahanan kita gak beres nih, Pak @prabowo  #TimnasDay #SelamanyaGaruda","Pertahanan kita gak beres nih, Pak","pertahanan kita gak beres nih, pak","pertahanan gak beres nih, pak","pertahanan tidak beres ini , pak",tahan tidak beres ini pak,"['tahan', 'tidak', 'beres', 'ini', 'pak']"
110,Mungkin Pak Prabowo udah Wudhu jadi ogah salaman sama pendukungnya yg kotor dan penuh dosa...muehehehe,Mungkin Pak Prabowo udah Wudhu jadi ogah salaman sama pendukungnya yg kotor dan penuh dosa...muehehehe,mungkin pak prabowo udah wudhu jadi ogah salaman sama pendukungnya yg kotor dan penuh dosa...muehehehe,mungkin pak prabowo udah wudhu jadi ogah salaman sama pendukungnya yg kotor penuh dosa...muehehehe,mungkin pak prabowo sudah wudhu jadi tidak mau salaman sama pendukungnya yang kotor penuh dosa ... muehehehe,mungkin pak prabowo sudah wudhu jadi tidak mau salam sama dukung yang kotor penuh dosa muehehehe,"['mungkin', 'pak', 'prabowo', 'sudah', 'wudhu', 'jadi', 'tidak', 'mau', 'salam', 'sama', 'dukung', 'yang', 'kotor', 'penuh', 'dosa', 'muehehehe']"
111,Tolong pak @erickthohir ga beres ini wasitnya  Cc @aniesbaswedan @prabowo @ganjarpranowo @cakimiNOW @gibran_tweet @mohmahfudmd,Tolong pak ga beres ini wasitnya Cc,tolong pak ga beres ini wasitnya cc,pak ga beres wasitnya cc,pak tidak beres wasitnya cc,pak tidak beres wasit cc,"['pak', 'tidak', 'beres', 'wasit', 'cc']"
112,Simak sikap @prabowo yang sangat tegas ketika berhadapan dengan dunia Internasional. ✌💯 https://t.co/4yKJzT9R23,Simak sikap yang sangat tegas ketika berhadapan dengan dunia Internasional.,simak sikap yang sangat tegas ketika berhadapan dengan dunia internasional.,simak sikap sangat tegas berhadapan dunia internasional.,simak sikap sangat tegas berhadapan dunia internasional .,simak sikap sangat tegas hadap dunia internasional,"['simak', 'sikap', 'sangat', 'tegas', 'hadap', 'dunia', 'internasional']"
113,Aaaaaaaahhh keren bangeeet 😭😭 Guys ini lagu 'oke gass' full version ala Prabowo-Gibran!!!  #prabowo #gibran #prabowogibran #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/Huekl16qcr,Aaaaaaaahhh keren bangeeet Guys ini lagu 'oke gass' full version ala Prabowo-Gibran!!!,aaaaaaaahhh keren bangeeet guys ini lagu 'oke gass' full version ala prabowo-gibran!!!,aaaaaaaahhh keren bangeeet guys lagu 'oke gass' full version ala prabowo-gibran!!!,aaaaaaaahhh keren banget teman teman lagu ' ok gas ' full version ala prabowo-gibran ! ! !,aaaaaaaahhh keren banget teman teman lagu ok gas full version ala prabowo-gibran,"['aaaaaaaahhh', 'keren', 'banget', 'teman', 'teman', 'lagu', 'ok', 'gas', 'full', 'version', 'ala', 'prabowo-gibran']"
114,"Kejutan Pemilu 2024 Menurut Eef Saefulloh :  Yg kelihatannya KUAT akan KALAH, yg kelihatan BERPISAH akan BERSATU.  Yg kelihatanya sombong, takabur, percaya diri dst akhirnya dia tahu persis bahwa ada sang Maha pembuat makar yg sgt mudah membalik balikkan keadaan &amp  Prabowo Kalah. https://t.co/s7JYGW3FGA","Kejutan Pemilu Menurut Eef Saefulloh : Yg kelihatannya KUAT akan KALAH, yg kelihatan BERPISAH akan BERSATU. Yg kelihatanya sombong, takabur, percaya diri dst akhirnya dia tahu persis bahwa ada sang Maha pembuat makar yg sgt mudah membalik balikkan keadaan &amp Prabowo Kalah.","kejutan pemilu menurut eef saefulloh : yg kelihatannya kuat akan kalah, yg kelihatan berpisah akan bersatu. yg kelihatanya sombong, takabur, percaya diri dst akhirnya dia tahu persis bahwa ada sang maha pembuat makar yg sgt mudah membalik balikkan keadaan &amp prabowo kalah.","kejutan pemilu eef saefulloh : yg kelihatannya kuat kalah, yg kelihatan berpisah bersatu. yg kelihatanya sombong, takabur, percaya diri akhirnya tahu persis ada sang maha pembuat makar yg sgt mudah membalik balikkan keadaan &amp prabowo kalah.","kejutan pemilihan umum eef saefulloh : yang kelihatannya kuat kalah , yang kelihatan berpisah bersatu . yang kelihatanya sombong , takabur , percaya diri akhirnya tahu persis ada sang maha pembuat makar yang sangat mudah membalik balikkan keadaan & amp prabowo kalah .",kejut pilih umum eef saefulloh yang lihat kuat kalah yang lihat pisah satu yang kelihatanya sombong takabur percaya diri akhir tahu persis ada sang maha buat makar yang sangat mudah balik balik ada amp prabowo kalah,"['kejut', 'pilih', 'umum', 'eef', 'saefulloh', 'yang', 'lihat', 'kuat', 'kalah', 'yang', 'lihat', 'pisah', 'satu', 'yang', 'kelihatanya', 'sombong', 'takabur', 'percaya', 'diri', 'akhir', 'tahu', 'persis', 'ada', 'sang', 'maha', 'buat', 'makar', 'yang', 'sangat', 'mudah', 'balik', 'balik', 'ada', 'amp', 'prabowo', 'kalah']"
115,"Lelah Kampanye Rungkad terus, Jurkam Gofud akhirnya ikut-ikutan ALL IN PRABOWO GIBRAN  FROM THIS                    TO THIS https://t.co/7ktXM4T7Kt","Lelah Kampanye Rungkad terus, Jurkam Gofud akhirnya ikut-ikutan ALL IN PRABOWO GIBRAN FROM THIS TO THIS","lelah kampanye rungkad terus, jurkam gofud akhirnya ikut-ikutan all in prabowo gibran from this to this","lelah kampanye rungkad terus, jurkam gofud akhirnya ikut-ikutan all in prabowo gibran from this to this","lelah kampanye rungkad terus , jurkam gofud akhirnya ikut-ikutan all in prabowo gibran dari this untuk this",lelah kampanye rungkad terus jurkam gofud akhir ikut all in prabowo gibran dari this untuk this,"['lelah', 'kampanye', 'rungkad', 'terus', 'jurkam', 'gofud', 'akhir', 'ikut', 'all', 'in', 'prabowo', 'gibran', 'dari', 'this', 'untuk', 'this']"
116,"Menteri Pertahanan Prabowo Subianto @prabowo, menghadiri undangan Menteri BUMN Erick Thohir @erickthohir, pada perayaan Natal bersama keluarga besar Kementerian BUMN, didampingi Menteri Agama Yaqut Cholil Qoumas @gusyaqut di JCC, Senayan, Jakarta, Senin (15/1). https://t.co/z92Mmp4zfc","Menteri Pertahanan Prabowo Subianto , menghadiri undangan Menteri BUMN Erick Thohir , pada perayaan Natal bersama keluarga besar Kementerian BUMN, didampingi Menteri Agama Yaqut Cholil Qoumas di JCC, Senayan, Jakarta, Senin (/).","menteri pertahanan prabowo subianto , menghadiri undangan menteri bumn erick thohir , pada perayaan natal bersama keluarga besar kementerian bumn, didampingi menteri agama yaqut cholil qoumas di jcc, senayan, jakarta, senin (/).","menteri pertahanan prabowo subianto , menghadiri undangan menteri bumn erick thohir , perayaan natal bersama keluarga besar kementerian bumn, didampingi menteri agama yaqut cholil qoumas jcc, senayan, jakarta, senin (/).","menteri pertahanan prabowo subianto , menghadiri undangan menteri badan usaha milik negara erick thohir , perayaan natal bersama keluarga besar kementerian badan usaha milik negara , didampingi menteri agama yaqut cholil qoumas jcc , senayan , jakarta , senin ( / ) .",menteri tahan prabowo subianto hadir undang menteri badan usaha milik negara erick thohir raya natal sama keluarga besar menteri badan usaha milik negara damping menteri agama yaqut cholil qoumas jcc senayan jakarta senin,"['menteri', 'tahan', 'prabowo', 'subianto', 'hadir', 'undang', 'menteri', 'badan', 'usaha', 'milik', 'negara', 'erick', 'thohir', 'raya', 'natal', 'sama', 'keluarga', 'besar', 'menteri', 'badan', 'usaha', 'milik', 'negara', 'damping', 'menteri', 'agama', 'yaqut', 'cholil', 'qoumas', 'jcc', 'senayan', 'jakarta', 'senin']"
