created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 13 06:23:40 +0000 2024;1746055392143299049;"Nantangin mahasiswa mah jelas salah alamat TKN Prabowo Gibran..   Ditantang balik tuh, berani gak membuktikan kalau selebaran itu Hoax?!   Sekalian bawa Wiranto, Agum Gumelar, dan SBY biar tidak ada dusta!! https://t.co/rZKR0Gy0qd";63;123;1050;2646;in;214159664;1746055392143299049;Paltiwest;https://twitter.com/Paltiwest/status/1746055392143299049
Sat Jan 13 06:21:33 +0000 2024;1746054861521850873;"AHY meminta masyarakat memahami posisi politik Demokrat saat ini. Dia menyatakan Demokrat tetap perjuangkan perubahan meski mengusung Prabowo-Gibran. https://t.co/VHa5AEHnnc";507;2158;258;1483;in;23343960;1746054861521850873;kompascom;https://twitter.com/kompascom/status/1746054861521850873
Sat Jan 13 06:19:11 +0000 2024;1746054263141478511;"@zarryhendrik Betul zar mkan nya bagi saya ga ngaruh tetap all in prabowo jadi capres abadi.";6;11;34;551;in;936970196673110016;1746022815403487559;xandreanda;https://twitter.com/xandreanda/status/1746054263141478511
Sat Jan 13 06:17:34 +0000 2024;1746053856008806819;"Anies mengatakan, apresiasi yang sebesar-besarnya perlu diberikan kepada Kapolri Jenderal Polisi Listyo Sigit Prabowo dan jajaran kepolisian atas langkah sigap dan cepatnya dalam memastikan keamanan. https://t.co/ChYNuHZlWm";1;2;26;234;in;759692754985242625;1746053856008806819;kumparan;https://twitter.com/kumparan/status/1746053856008806819
Sat Jan 13 06:17:09 +0000 2024;1746053751541219693;"Walau saya tak setuju menyamakan orang dgn Hitler, saya lebih rispek sama @ulinyusron yg pernah unggah foto pak Prabowo yg dicitrakan mirip Hitler.   Kenapa? Beliau konsisten tdk dukung Prabowo, tdk spt @PartaiSocmed yg membabi-buta dukung Prabowo dan nyerang Anies. https://t.co/ybrgHFLG5h";2;20;106;817;in;230696471;1746028352912216095;berlianidris;https://twitter.com/berlianidris/status/1746053751541219693
Sat Jan 13 06:15:06 +0000 2024;1746053235713200425;"Jd kepikiran, bener juga...  Jangan2 Jokowi 2 pemilu kmrn itu kualitasnya biasa aja. Tp krn lawannya Prabowo, jd terlihat istimewa 😂😂";432;307;2071;16142;in;6176612;1746053235713200425;leksa;https://twitter.com/leksa/status/1746053235713200425
Sat Jan 13 06:15:04 +0000 2024;1746053228188357097;"Prabowo itu sejak lahir sudah kaya raya, belum pernah merasakan susah. Bagaimana bisa dia mengukur kemiskinan ? Ukuran miskinnya pasti beda.   Misalnya, kalo tanahnya yang 500rb hektar itu dikembalikan ke negara, dia pasti langsung merasa miskin 😁😁  https://t.co/N3BIzKNGBO";17;403;487;2527;in;4780649298;1746053228188357097;Dennysiregar7;https://twitter.com/Dennysiregar7/status/1746053228188357097
Sat Jan 13 06:13:37 +0000 2024;1746052862487236833;"Prabowo Disambut Ribuan Masyarakat Sumatera Utara di Medan https://t.co/HCHID0fcIh";2;24;47;253;in;41730943;1746052862487236833;VIVAcoid;https://twitter.com/VIVAcoid/status/1746052862487236833
Sat Jan 13 06:12:35 +0000 2024;1746052605057565150;"@zarryhendrik @nialubis_ analogi gak nyambung pantesan masuk kubu prabowo";1;3;17;536;in;1600075143522713600;1746022815403487559;SelamattDatang;https://twitter.com/SelamattDatang/status/1746052605057565150
Sat Jan 13 06:11:28 +0000 2024;1746052323619860626;"Ganti ajalah Menhan Prabowo dengan Wamenhan..   Katanya rahasia, ini bisa dibukakan?!   Memang parah Prabowo😄😄😄  https://t.co/tKUZ8wPBsd";4;14;34;171;in;214159664;1746052323619860626;Paltiwest;https://twitter.com/Paltiwest/status/1746052323619860626
